,file type,hash(SHA256),Vt_link,File_Exten
98,"DOS batch file, ASCII text, with CRLF, CR line terminators",245c338baded9ac4ead0882a810b880963ab2d3ac2bfbd5da8d887f76bcf0ecc,https://www.virustotal.com/gui/file/245c338baded9ac4ead0882a810b880963ab2d3ac2bfbd5da8d887f76bcf0ecc,unknown
99,"DOS/MBR boot sector MS-MBR, disk signature 0x35db35db; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 204796557 sectors; partition 2 : ID=0xf, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 204796620, 283579380 sectors",cb37d7cbba1051bf53d6ba76e22a56bca193088b6b4ae86288d566e7cf7224e7,https://www.virustotal.com/gui/file/cb37d7cbba1051bf53d6ba76e22a56bca193088b6b4ae86288d566e7cf7224e7,unknown
100,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 307194867 sectors; partition 2 : ID=0xf, start-CHS (0x3ff,0,1), end-CHS (0x3ff,254,63), startsector 307194930, 181181070 sectors",076105d1ae62333cac6872e8d91d502c2963b9a1e58378f3b6db866f9b5c179d,https://www.virustotal.com/gui/file/076105d1ae62333cac6872e8d91d502c2963b9a1e58378f3b6db866f9b5c179d,unknown
101,"UTF-8 Unicode (with BOM) text, with very long lines, with CRLF line terminators",e67955de675a334518fe1e632ccd6a227a7294b1dd88c5de7ebc6a84bfd5b446,https://www.virustotal.com/gui/file/e67955de675a334518fe1e632ccd6a227a7294b1dd88c5de7ebc6a84bfd5b446,Text
102,"DOS/MBR boot sector MS-MBR, created with driveID 0x80 at 15:24:49",a80ab0fbd7eb0959eba60a74cedce155357b6268576322bd615962d84feb59f6,https://www.virustotal.com/gui/file/a80ab0fbd7eb0959eba60a74cedce155357b6268576322bd615962d84feb59f6,unknown
103,"PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",dcfb944f23491dc011963d1bd57ae37155fe160c1133808f57f986d2d64cb671,https://www.virustotal.com/gui/file/dcfb944f23491dc011963d1bd57ae37155fe160c1133808f57f986d2d64cb671,Win32 DLL
104,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,239,63), startsector 63, 61432497 sectors; partition 2 : ID=0xf, start-CHS (0x3ff,0,1), end-CHS (0x3ff,239,63), startsector 61432560, 94847760 sectors",c1853941a7801f4b54a76c9327ba2fc96fd1cee52c316de2bce893c4c6988f95,https://www.virustotal.com/gui/file/c1853941a7801f4b54a76c9327ba2fc96fd1cee52c316de2bce893c4c6988f95,unknown
105,"exported SGML document, ASCII text, with very long lines",629d627c93a2b545dff46bfc3297c9ddabbd7e3149f7541bd5a43105ad4a4871,https://www.virustotal.com/gui/file/629d627c93a2b545dff46bfc3297c9ddabbd7e3149f7541bd5a43105ad4a4871,unknown
106,"dBase III DBT, version number 0, next free block index 2026485, 1st item ""Version 3.30RWH""",ceca80aad55e53ea2ea61705af3db27ae586e2f4ded3050e796c2838f03ad84e,https://www.virustotal.com/gui/file/ceca80aad55e53ea2ea61705af3db27ae586e2f4ded3050e796c2838f03ad84e,unknown
107,"news or mail, ASCII text",cf5f3b3d8bbeeddb1fd9327b18d83b63f2de7193c5b876764e50ed92a92a77c1,https://www.virustotal.com/gui/file/cf5f3b3d8bbeeddb1fd9327b18d83b63f2de7193c5b876764e50ed92a92a77c1,Email
108,"assembler source, ISO-8859 text, with CRLF line terminators",c5f208ca810b75b1ddad9bbe8d7dac70021e31bb5942221196fb210edab76536,https://www.virustotal.com/gui/file/c5f208ca810b75b1ddad9bbe8d7dac70021e31bb5942221196fb210edab76536,Text
109,"DOS/MBR boot sector, code offset 0x1c+2, OEM-ID ""PC Tools"", sectors/cluster 2, root entries 112, sectors 720 (volumes <=32 MB) , Media descriptor 0xfd, sectors/FAT 2, sectors/track 9, FAT (12 bit by descriptor)",814be18409b2b4f5cd6f2ac24f38fd5d8e2c83e7afef4472d6824dd578677aed,https://www.virustotal.com/gui/file/814be18409b2b4f5cd6f2ac24f38fd5d8e2c83e7afef4472d6824dd578677aed,unknown
110,"Little-endian UTF-16 Unicode text, with very long lines, with no line terminators",c9e3fd4ee175c18735a7427052150cdbe685ba003233c84b280d3113ee5ff2b1,https://www.virustotal.com/gui/file/c9e3fd4ee175c18735a7427052150cdbe685ba003233c84b280d3113ee5ff2b1,unknown
111,PGP symmetric key encrypted data - AES with 128-bit key,07478f1cd7cf31a790daef0a78ce92bd6b67c1a792cdbc131ebaccef8ddb6dbe,https://www.virustotal.com/gui/file/07478f1cd7cf31a790daef0a78ce92bd6b67c1a792cdbc131ebaccef8ddb6dbe,DOS EXE
112,"8086 relocatable (Microsoft), ""algebra.ASM""",7281377a8eefb0c8414b908354a7ec03325a2818d4c8481dec2d6ced5643e49c,https://www.virustotal.com/gui/file/7281377a8eefb0c8414b908354a7ec03325a2818d4c8481dec2d6ced5643e49c,unknown
113,"DOS/MBR boot sector, code offset 0x3e+2, OEM-ID ""P4\022Eh"", sectors/cluster 2, root entries 112, sectors 720 (volumes <=32 MB) , Media descriptor 0xfd, sectors/FAT 2, sectors/track 9, physical drive 0xf, dos < 4.0 BootSector (0x0), FAT (12 bit by descriptor)",a657e1084baec750da6f6347ed958a1e57f989dbaea01c5d76998657a4a455be,https://www.virustotal.com/gui/file/a657e1084baec750da6f6347ed958a1e57f989dbaea01c5d76998657a4a455be,unknown
114,Perl script text executable,ac68ad753bfb8c58554f54b0de6155b6824cb9a344649ea0ee2cf99bf31d5d4b,https://www.virustotal.com/gui/file/ac68ad753bfb8c58554f54b0de6155b6824cb9a344649ea0ee2cf99bf31d5d4b,Text
